path,bytes,class,why
docs/statutes/_inbox/B/vatca-s088.md,4919,duplicate,docs/statutes/vatca-2010-revised/s088.md
docs/statutes/_inbox/B/vatca-s089.html,25920,duplicate,docs/statutes/vatca-2010-revised/s089.html
docs/statutes/_inbox/B/vatca-s089.md,5922,duplicate,docs/statutes/vatca-2010-revised/s089.md
docs/statutes/_inbox/B/vatca-s093.html,23546,duplicate,docs/statutes/vatca-2010-revised/s093.html
docs/statutes/_inbox/B/vatca-s093.md,5883,duplicate,docs/statutes/vatca-2010-revised/s093.md
docs/statutes/_inbox/B/vatca-s094.html,33713,duplicate,docs/statutes/vatca-2010-revised/s094.html
docs/statutes/_inbox/B/vatca-s094.md,9034,duplicate,docs/statutes/vatca-2010-revised/s094.md
docs/statutes/_inbox/B/vatca-s095.html,57725,duplicate,docs/statutes/vatca-2010-revised/s095.html
docs/statutes/_inbox/B/vatca-s095.md,18605,duplicate,docs/statutes/vatca-2010-revised/s095.md
docs/statutes/_inbox/B/vatca-s096.html,20871,duplicate,docs/statutes/vatca-2010-revised/s096.html
docs/statutes/_inbox/B/vatca-s096.md,2899,duplicate,docs/statutes/vatca-2010-revised/s096.md
docs/statutes/_inbox/B/vatca-s097.html,31441,duplicate,docs/statutes/vatca-2010-revised/s097.html
docs/statutes/_inbox/B/vatca-s097.md,8931,duplicate,docs/statutes/vatca-2010-revised/s097.md
docs/statutes/_inbox/B/vatca-s098.html,12928,duplicate,docs/statutes/vatca-2010-revised/s098.html
docs/statutes/_inbox/B/vatca-s098.md,1280,duplicate,docs/statutes/vatca-2010-revised/s098.md
docs/statutes/_inbox/B/vatca-schedule-1.html,84455,duplicate,docs/statutes/vatca-2010-revised/schedule-1.html
docs/statutes/_inbox/B/vatca-schedule-1.md,19988,unreferenced,
docs/statutes/_inbox/B/vatca-schedule-2.html,92965,duplicate,docs/statutes/vatca-2010-revised/schedule-2.html
docs/statutes/_inbox/B/vatca-schedule-2.md,21955,unreferenced,
docs/statutes/_inbox/B/vatca-schedule-3.html,100367,duplicate,docs/statutes/vatca-2010-revised/schedule-3.html
docs/statutes/_inbox/B/vatca-schedule-3.md,19366,unreferenced,
docs/statutes/_inbox/C/COLLECT-LOG.json,45518,unreferenced,
docs/statutes/_inbox/C/SOURCES.txt,4465,unreferenced,
docs/statutes/_inbox/C/cash-receipts/eu-cross-border-payments-reporting-requirement-for-payment-service-providers.md,12433,unreferenced,
